timestamp,scan date,scanner type,ticker,sector / industry,leader quality label,sector leadership status,trade tier,setup type,signal state,watch type,trade,professional score,adjusted final score,institutional quality score,entry quality score,healthy pullback score,institutional tightness score,breakout quality score,RS score,risk %,close,pivot,entry trigger,stop loss,TP1,TP2,TP3,ideal TP,TP type,decision reason
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,NVDA,Technology / Semiconductors,INSTITUTIONAL LEADER,IMPROVING SECTOR,"Tier 2 - High Quality, Wait Better Entry",HEALTHY PULLBACK WATCH,WAIT PULLBACK,HEALTHY PULLBACK,NO,71.0,84.5,10,2,10,5,1,9.2,14.51,225.83,223.75,223.75,191.28,272.45,304.93,321.17,304.93,TOO FAR / USE TRAILING STOP,"WAIT PULLBACK: quality may be present, but wait for pullback or tighter risk."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,MSFT,Technology / Software - Application,LAGGARD / AVOID,IMPROVING SECTOR,Tier 4 - Avoid / Reject,BASE BUILDING,REJECT,NONE,NO,59.0,57.8,10,2,4,5,1,0.0,9.52,405.21,433.7,434.13,392.79,496.14,537.48,558.15,537.48,PRACTICAL SWING TP,"REJECT: hard reject, failed setup, or character change."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,AAPL,Technology / Growth leaders,MOMENTUM LEADER,IMPROVING SECTOR,"Tier 2 - High Quality, Wait Better Entry",HEALTHY PULLBACK WATCH,WATCH,HEALTHY PULLBACK,NO,75.5,100.0,10,3,8,6,6,7.0,10.34,298.87,295.27,295.27,264.75,341.05,371.57,386.83,371.57,PRACTICAL SWING TP,"WATCH: good stock, but wait for trigger or confirmation."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,AMZN,Consumer Cyclical / Consumer growth,DEFENSIVE WATCH,LEADING SECTOR,"Tier 2 - High Quality, Wait Better Entry",PULLBACK TO MA20,WATCH,WAIT MA20 SUPPORT,NO,91.0,100.0,9,8,7,5,9,5.8,6.49,270.13,278.56,270.27,252.72,296.59,314.14,322.92,314.14,PRACTICAL SWING TP,"WATCH: good stock, but wait for trigger or confirmation."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,META,Consumer Cyclical / Consumer growth,DEFENSIVE WATCH,IMPROVING SECTOR,Tier 4 - Avoid / Reject,FAILED,REJECT,NONE,NO,44.5,33.5,6,0,6,4,0,0.0,15.7,616.63,691.52,692.21,583.54,855.22,963.89,1018.23,963.89,TOO FAR / USE TRAILING STOP,REJECT: Character change detected: wait for structure to rebuild.
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,GOOGL,Technology / Market leader,INSTITUTIONAL LEADER,LEADING SECTOR,"Tier 2 - High Quality, Wait Better Entry",RESISTANCE BREAKOUT WATCH,WATCH,HEALTHY PULLBACK,NO,86.0,100.0,8,5,8,5,9,10.0,7.91,402.62,402.0,391.76,360.79,483.12,507.09,555.02,507.09,PRACTICAL SWING TP,"WATCH: good stock, but wait for trigger or confirmation."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,GOOG,Technology / Market leader,INSTITUTIONAL LEADER,LEADING SECTOR,"Tier 2 - High Quality, Wait Better Entry",RESISTANCE BREAKOUT WATCH,WATCH,HEALTHY PULLBACK,NO,86.0,100.0,8,5,9,5,7,10.0,7.83,399.04,398.37,388.62,358.19,487.12,512.41,563.0,512.41,PRACTICAL SWING TP,"WATCH: good stock, but wait for trigger or confirmation."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,AVGO,Technology / Semiconductors,INSTITUTIONAL LEADER,IMPROVING SECTOR,"Tier 2 - High Quality, Wait Better Entry",PULLBACK TO MA20,WATCH,WAIT MA20 SUPPORT,NO,83.5,100.0,10,5,7,2,10,8.0,7.57,416.79,437.68,429.34,396.86,478.06,510.54,526.78,510.54,PRACTICAL SWING TP,"WATCH: good stock, but wait for trigger or confirmation."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,TSLA,Consumer Cyclical / Consumer growth,DEFENSIVE WATCH,IMPROVING SECTOR,Tier 3 - Leadership Watchlist,HEALTHY PULLBACK WATCH,WAIT PULLBACK,HEALTHY PULLBACK,NO,53.0,69.2,6,1,9,5,3,4.0,20.04,445.27,449.16,449.61,359.51,584.76,674.86,719.91,674.86,TOO FAR / USE TRAILING STOP,"WAIT PULLBACK: quality may be present, but wait for pullback or tighter risk."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,BRK-B,Technology / Market leader,LAGGARD / AVOID,IMPROVING SECTOR,Tier 4 - Avoid / Reject,HEALTHY PULLBACK WATCH,REJECT,HEALTHY PULLBACK,NO,59.0,56.1,6,8,9,7,1,0.0,9.07,485.52,506.52,507.03,461.02,576.04,622.05,645.06,622.05,PRACTICAL SWING TP,"REJECT: hard reject, failed setup, or character change."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,JPM,Financial Services / Financials / fintech,LAGGARD / AVOID,IMPROVING SECTOR,Tier 3 - Leadership Watchlist,BASE BUILDING,WATCH,NONE,NO,60.0,46.8,6,1,3,0,0,0.0,8.81,300.25,320.24,320.56,292.32,362.92,391.16,405.28,391.16,PRACTICAL SWING TP,"WATCH: good stock, but wait for trigger or confirmation."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,LLY,Healthcare / Biotechnology / healthcare growth,LAGGARD / AVOID,LEADING SECTOR,Tier 3 - Leadership Watchlist,HEALTHY PULLBACK WATCH,WAIT PULLBACK,HEALTHY PULLBACK,NO,55.5,72.0,5,2,9,1,4,2.0,17.32,1015.75,1064.45,1065.51,881.0,1342.28,1526.78,1619.04,1526.78,TOO FAR / USE TRAILING STOP,"WAIT PULLBACK: quality may be present, but wait for pullback or tighter risk."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,V,Financial Services / Financials / fintech,LAGGARD / AVOID,IMPROVING SECTOR,Tier 4 - Avoid / Reject,PULLBACK TO MA20,REJECT,WAIT MA20 SUPPORT,NO,59.0,52.6,6,7,6,4,3,0.0,4.77,320.31,327.35,327.68,312.04,351.14,366.78,374.6,366.78,PRACTICAL SWING TP,"REJECT: hard reject, failed setup, or character change."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,MA,Financial Services / Financials / fintech,LAGGARD / AVOID,IMPROVING SECTOR,Tier 4 - Avoid / Reject,FAILED,REJECT,NONE,NO,45.0,36.4,6,2,3,5,0,0.0,8.29,490.64,527.07,527.6,483.85,593.23,636.98,658.86,636.98,PRACTICAL SWING TP,REJECT: Character change detected: wait for structure to rebuild.
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,NFLX,Consumer Cyclical / Consumer growth,DEFENSIVE WATCH,LEADING SECTOR,Tier 4 - Avoid / Reject,FAILED,REJECT,NONE,NO,45.0,37.6,5,0,4,4,0,1.5,22.35,87.56,107.79,107.9,83.79,144.06,168.18,180.24,168.18,TOO FAR / USE TRAILING STOP,REJECT: Character change detected: wait for structure to rebuild.
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,ORCL,Technology / Software - Application,MOMENTUM LEADER,IMPROVING SECTOR,Tier 4 - Avoid / Reject,HEALTHY PULLBACK WATCH,REJECT,HEALTHY PULLBACK,NO,59.0,71.4,7,2,9,6,1,7.0,20.49,189.76,195.95,196.15,155.96,256.44,296.62,316.72,296.62,TOO FAR / USE TRAILING STOP,"REJECT: hard reject, failed setup, or character change."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,COST,Technology / Market leader,LAGGARD / AVOID,IMPROVING SECTOR,Tier 3 - Leadership Watchlist,HEALTHY PULLBACK WATCH,WATCH,HEALTHY PULLBACK,NO,75.0,87.2,6,7,10,0,4,4.0,4.94,1033.08,1034.32,1026.0,975.32,1102.02,1152.7,1178.04,1152.7,PRACTICAL SWING TP,"WATCH: good stock, but wait for trigger or confirmation."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,HD,Technology / Market leader,LAGGARD / AVOID,IMPROVING SECTOR,Tier 4 - Avoid / Reject,FAILED,REJECT,NONE,NO,44.5,38.9,7,0,0,0,0,0.0,22.34,302.55,379.71,380.09,295.17,507.47,592.39,634.85,592.39,TOO FAR / USE TRAILING STOP,REJECT: Character change detected: wait for structure to rebuild.
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,WMT,Technology / Market leader,LAGGARD / AVOID,IMPROVING SECTOR,Tier 3 - Leadership Watchlist,HEALTHY PULLBACK WATCH,WATCH,HEALTHY PULLBACK,NO,75.0,94.4,6,7,10,4,9,4.0,6.17,131.47,133.12,133.25,125.02,145.59,153.83,157.95,153.83,PRACTICAL SWING TP,"WATCH: good stock, but wait for trigger or confirmation."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,PLTR,Technology / Software - Application,LAGGARD / AVOID,IMPROVING SECTOR,Tier 4 - Avoid / Reject,FAILED,REJECT,NONE,NO,40.5,42.7,8,0,0,0,0,0.0,22.03,130.05,160.84,161.0,125.54,214.19,249.65,267.38,249.65,TOO FAR / USE TRAILING STOP,REJECT: Character change detected: wait for structure to rebuild.
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,AMD,Technology / Semiconductors,INSTITUTIONAL LEADER,LEADING SECTOR,Tier 4 - Avoid / Reject,HEALTHY PULLBACK WATCH,REJECT,HEALTHY PULLBACK,NO,59.0,89.5,10,0,8,3,2,10.0,28.48,445.5,448.29,448.74,320.95,640.43,768.22,832.12,768.22,TOO FAR / USE TRAILING STOP,"REJECT: hard reject, failed setup, or character change."
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,CRM,Technology / Software - Application,LAGGARD / AVOID,IMPROVING SECTOR,Tier 4 - Avoid / Reject,FAILED,REJECT,NONE,NO,45.0,44.8,7,0,1,5,0,0.0,21.26,165.84,204.35,204.55,161.06,269.79,313.28,335.02,313.28,TOO FAR / USE TRAILING STOP,REJECT: Character change detected: wait for structure to rebuild.
2026-05-14 16:17:06 +08,2026-05-14,US Pro Market Scan,NOW,Technology / Software - Application,LAGGARD / AVOID,IMPROVING SECTOR,Tier 4 - Avoid / Reject,FAILED,REJECT,NONE,NO,45.0,56.5,10,0,3,5,0,0.0,30.8,87.05,120.38,120.5,83.39,176.16,213.28,231.84,213.28,TOO FAR / USE TRAILING STOP,REJECT: Character change detected: wait for structure to rebuild.
